"GEO_ID","NAME","B25077_001M","B25077_001MA","B25077_001E","B25077_001EA",
"Geography","Geographic Area Name","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Estimate!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"1400000US42101006900","Census Tract 69, Philadelphia County, Pennsylvania","6906","null","61100","null",
"1400000US42101007000","Census Tract 70, Philadelphia County, Pennsylvania","9674","null","55400","null",
"1400000US42101007101","Census Tract 71.01, Philadelphia County, Pennsylvania","16651","null","59400","null",
"1400000US42101007102","Census Tract 71.02, Philadelphia County, Pennsylvania","10874","null","65900","null",
"1400000US42101007200","Census Tract 72, Philadelphia County, Pennsylvania","4768","null","60800","null",
"1400000US42101007300","Census Tract 73, Philadelphia County, Pennsylvania","13721","null","74900","null",
"1400000US42101007400","Census Tract 74, Philadelphia County, Pennsylvania","7535","null","61700","null",
"1400000US42101007700","Census Tract 77, Philadelphia County, Pennsylvania","122866","null","79300","null",
"1400000US42101007800","Census Tract 78, Philadelphia County, Pennsylvania","38925","null","370200","null",
"1400000US42101007900","Census Tract 79, Philadelphia County, Pennsylvania","53914","null","332400","null",
"1400000US42101008000","Census Tract 80, Philadelphia County, Pennsylvania","13165","null","96700","null",
"1400000US42101008101","Census Tract 81.01, Philadelphia County, Pennsylvania","15542","null","72000","null",
"1400000US42101008102","Census Tract 81.02, Philadelphia County, Pennsylvania","5010","null","75300","null",
"1400000US42101008200","Census Tract 82, Philadelphia County, Pennsylvania","5962","null","88900","null",
"1400000US42101008301","Census Tract 83.01, Philadelphia County, Pennsylvania","5895","null","73800","null",
"1400000US42101008302","Census Tract 83.02, Philadelphia County, Pennsylvania","7821","null","78000","null",
"1400000US42101008400","Census Tract 84, Philadelphia County, Pennsylvania","3999","null","73600","null",
"1400000US42101008500","Census Tract 85, Philadelphia County, Pennsylvania","17902","null","73700","null",
"1400000US42101008601","Census Tract 86.01, Philadelphia County, Pennsylvania","86031","null","275000","null",
"1400000US42101008602","Census Tract 86.02, Philadelphia County, Pennsylvania","85290","null","126500","null",
"1400000US42101008701","Census Tract 87.01, Philadelphia County, Pennsylvania","65899","null","361600","null",
"1400000US42101008702","Census Tract 87.02, Philadelphia County, Pennsylvania","106318","null","523200","null",
"1400000US42101008801","Census Tract 88.01, Philadelphia County, Pennsylvania","**","**","-","-",
"1400000US42101008802","Census Tract 88.02, Philadelphia County, Pennsylvania","**","**","-","-",
"1400000US42101009000","Census Tract 90, Philadelphia County, Pennsylvania","135281","null","403800","null",
"1400000US42101009100","Census Tract 91, Philadelphia County, Pennsylvania","103280","null","242400","null",
"1400000US42101009200","Census Tract 92, Philadelphia County, Pennsylvania","11917","null","107100","null",
"1400000US42101009300","Census Tract 93, Philadelphia County, Pennsylvania","12290","null","62700","null",
"1400000US42101009400","Census Tract 94, Philadelphia County, Pennsylvania","7413","null","54200","null",
"1400000US42101009500","Census Tract 95, Philadelphia County, Pennsylvania","4560","null","63400","null",
"1400000US42101009600","Census Tract 96, Philadelphia County, Pennsylvania","19808","null","71900","null",
"1400000US42101009801","Census Tract 98.01, Philadelphia County, Pennsylvania","25194","null","128100","null",
"1400000US42101009802","Census Tract 98.02, Philadelphia County, Pennsylvania","6984","null","132800","null",
"1400000US42101010000","Census Tract 100, Philadelphia County, Pennsylvania","9687","null","115700","null",
"1400000US42101010100","Census Tract 101, Philadelphia County, Pennsylvania","12418","null","73400","null",
"1400000US42101010200","Census Tract 102, Philadelphia County, Pennsylvania","13174","null","71000","null",
"1400000US42101010300","Census Tract 103, Philadelphia County, Pennsylvania","10114","null","52000","null",
"1400000US42101010400","Census Tract 104, Philadelphia County, Pennsylvania","9227","null","44300","null",
"1400000US42101010500","Census Tract 105, Philadelphia County, Pennsylvania","15217","null","92000","null",
"1400000US42101010600","Census Tract 106, Philadelphia County, Pennsylvania","16496","null","87800","null",
"1400000US42101010700","Census Tract 107, Philadelphia County, Pennsylvania","15597","null","63500","null",
"1400000US42101010800","Census Tract 108, Philadelphia County, Pennsylvania","14536","null","72000","null",
"1400000US42101010900","Census Tract 109, Philadelphia County, Pennsylvania","88961","null","88700","null",
"1400000US42101011000","Census Tract 110, Philadelphia County, Pennsylvania","11303","null","63600","null",
"1400000US42101011100","Census Tract 111, Philadelphia County, Pennsylvania","3803","null","52600","null",
"1400000US42101011200","Census Tract 112, Philadelphia County, Pennsylvania","11531","null","67200","null",
"1400000US42101011300","Census Tract 113, Philadelphia County, Pennsylvania","5045","null","88800","null",
"1400000US42101011400","Census Tract 114, Philadelphia County, Pennsylvania","13410","null","99900","null",
"1400000US42101011500","Census Tract 115, Philadelphia County, Pennsylvania","11911","null","117900","null",
"1400000US42101011700","Census Tract 117, Philadelphia County, Pennsylvania","19506","null","214000","null",
"1400000US42101011800","Census Tract 118, Philadelphia County, Pennsylvania","8873","null","122500","null",
"1400000US42101011900","Census Tract 119, Philadelphia County, Pennsylvania","9968","null","98400","null",
"1400000US42101012000","Census Tract 120, Philadelphia County, Pennsylvania","15094","null","222600","null",
"1400000US42101012100","Census Tract 121, Philadelphia County, Pennsylvania","17010","null","175200","null",
"1400000US42101012201","Census Tract 122.01, Philadelphia County, Pennsylvania","**","**","-","-",
"1400000US42101012203","Census Tract 122.03, Philadelphia County, Pennsylvania","**","**","-","-",
"1400000US42101012204","Census Tract 122.04, Philadelphia County, Pennsylvania","22913","null","175600","null",
"1400000US42101012500","Census Tract 125, Philadelphia County, Pennsylvania","35661","null","374400","null",
"1400000US42101013100","Census Tract 131, Philadelphia County, Pennsylvania","60916","null","233300","null",
"1400000US42101013200","Census Tract 132, Philadelphia County, Pennsylvania","6659","null","219700","null",
"1400000US42101013300","Census Tract 133, Philadelphia County, Pennsylvania","57908","null","167500","null",
"1400000US42101013401","Census Tract 134.01, Philadelphia County, Pennsylvania","77011","null","388500","null",
"1400000US42101013402","Census Tract 134.02, Philadelphia County, Pennsylvania","74492","null","495900","null",
"1400000US42101013500","Census Tract 135, Philadelphia County, Pennsylvania","25492","null","310900","null",
"1400000US42101013601","Census Tract 136.01, Philadelphia County, Pennsylvania","19956","null","349400","null",
"1400000US42101013602","Census Tract 136.02, Philadelphia County, Pennsylvania","16857","null","358700","null",
"1400000US42101013700","Census Tract 137, Philadelphia County, Pennsylvania","16324","null","92900","null",
"1400000US42101013800","Census Tract 138, Philadelphia County, Pennsylvania","5989","null","67300","null",
"1400000US42101013900","Census Tract 139, Philadelphia County, Pennsylvania","19083","null","92500","null",
"1400000US42101014000","Census Tract 140, Philadelphia County, Pennsylvania","67094","null","150700","null",
"1400000US42101014100","Census Tract 141, Philadelphia County, Pennsylvania","59783","null","111800","null",
"1400000US42101014200","Census Tract 142, Philadelphia County, Pennsylvania","36923","null","287400","null",
"1400000US42101014300","Census Tract 143, Philadelphia County, Pennsylvania","17332","null","178500","null",
"1400000US42101014400","Census Tract 144, Philadelphia County, Pennsylvania","66158","null","107100","null",
"1400000US42101014500","Census Tract 145, Philadelphia County, Pennsylvania","118238","null","86200","null",
"1400000US42101014600","Census Tract 146, Philadelphia County, Pennsylvania","39394","null","108800","null",
"1400000US42101014700","Census Tract 147, Philadelphia County, Pennsylvania","41619","null","86600","null",
"1400000US42101014800","Census Tract 148, Philadelphia County, Pennsylvania","96284","null","67200","null",
"1400000US42101014900","Census Tract 149, Philadelphia County, Pennsylvania","30879","null","56300","null",
"1400000US42101015101","Census Tract 151.01, Philadelphia County, Pennsylvania","36852","null","63500","null",
