"GEO_ID","NAME","B19013_001M","B19013_001MA","B19013_001E","B19013_001EA",
"1400000US42101006700","Census Tract 67, Philadelphia County, Pennsylvania","3687","null","28049","null",
"1400000US42101006900","Census Tract 69, Philadelphia County, Pennsylvania","8308","null","20030","null",
"1400000US42101007000","Census Tract 70, Philadelphia County, Pennsylvania","5687","null","33702","null",
"1400000US42101007101","Census Tract 71.01, Philadelphia County, Pennsylvania","6634","null","30586","null",
"1400000US42101007102","Census Tract 71.02, Philadelphia County, Pennsylvania","5313","null","26590","null",
"1400000US42101007200","Census Tract 72, Philadelphia County, Pennsylvania","3875","null","27007","null",
"1400000US42101007300","Census Tract 73, Philadelphia County, Pennsylvania","5905","null","24741","null",
"1400000US42101007400","Census Tract 74, Philadelphia County, Pennsylvania","7752","null","25714","null",
"1400000US42101007700","Census Tract 77, Philadelphia County, Pennsylvania","8422","null","31005","null",
"1400000US42101007800","Census Tract 78, Philadelphia County, Pennsylvania","9790","null","39759","null",
"1400000US42101007900","Census Tract 79, Philadelphia County, Pennsylvania","5642","null","40115","null",
"1400000US42101008000","Census Tract 80, Philadelphia County, Pennsylvania","6053","null","33511","null",
"1400000US42101008101","Census Tract 81.01, Philadelphia County, Pennsylvania","11529","null","25110","null",
"1400000US42101008102","Census Tract 81.02, Philadelphia County, Pennsylvania","8651","null","32423","null",
"1400000US42101008200","Census Tract 82, Philadelphia County, Pennsylvania","7737","null","37708","null",
"1400000US42101008301","Census Tract 83.01, Philadelphia County, Pennsylvania","4579","null","23484","null",
"1400000US42101008302","Census Tract 83.02, Philadelphia County, Pennsylvania","8137","null","22706","null",
"1400000US42101008400","Census Tract 84, Philadelphia County, Pennsylvania","7515","null","27313","null",
"1400000US42101008500","Census Tract 85, Philadelphia County, Pennsylvania","8030","null","25547","null",
"1400000US42101008601","Census Tract 86.01, Philadelphia County, Pennsylvania","11799","null","45250","null",
"1400000US42101008602","Census Tract 86.02, Philadelphia County, Pennsylvania","4267","null","26963","null",
"1400000US42101008701","Census Tract 87.01, Philadelphia County, Pennsylvania","11180","null","31062","null",
"1400000US42101008702","Census Tract 87.02, Philadelphia County, Pennsylvania","6749","null","27297","null",
"1400000US42101008801","Census Tract 88.01, Philadelphia County, Pennsylvania","5320","null","15357","null",
"1400000US42101008802","Census Tract 88.02, Philadelphia County, Pennsylvania","4216","null","12077","null",
"1400000US42101009000","Census Tract 90, Philadelphia County, Pennsylvania","5048","null","23315","null",
"1400000US42101009100","Census Tract 91, Philadelphia County, Pennsylvania","3147","null","14438","null",
"1400000US42101009200","Census Tract 92, Philadelphia County, Pennsylvania","11333","null","19696","null",
"1400000US42101009300","Census Tract 93, Philadelphia County, Pennsylvania","8143","null","26838","null",
"1400000US42101009400","Census Tract 94, Philadelphia County, Pennsylvania","3314","null","19917","null",
"1400000US42101009500","Census Tract 95, Philadelphia County, Pennsylvania","7386","null","19516","null",
"1400000US42101009600","Census Tract 96, Philadelphia County, Pennsylvania","3718","null","25843","null",
"1400000US42101009801","Census Tract 98.01, Philadelphia County, Pennsylvania","16358","null","51776","null",
"1400000US42101009802","Census Tract 98.02, Philadelphia County, Pennsylvania","10063","null","50429","null",
"1400000US42101010000","Census Tract 100, Philadelphia County, Pennsylvania","5266","null","43262","null",
"1400000US42101010100","Census Tract 101, Philadelphia County, Pennsylvania","8047","null","31092","null",
"1400000US42101010200","Census Tract 102, Philadelphia County, Pennsylvania","6021","null","17219","null",
"1400000US42101010300","Census Tract 103, Philadelphia County, Pennsylvania","1772","null","21164","null",
"1400000US42101010400","Census Tract 104, Philadelphia County, Pennsylvania","5345","null","26047","null",
"1400000US42101010500","Census Tract 105, Philadelphia County, Pennsylvania","3436","null","19247","null",
"1400000US42101010600","Census Tract 106, Philadelphia County, Pennsylvania","19366","null","27991","null",
"1400000US42101010700","Census Tract 107, Philadelphia County, Pennsylvania","5718","null","18965","null",
"1400000US42101010800","Census Tract 108, Philadelphia County, Pennsylvania","3772","null","19147","null",
"1400000US42101010900","Census Tract 109, Philadelphia County, Pennsylvania","5847","null","21063","null",
"1400000US42101011000","Census Tract 110, Philadelphia County, Pennsylvania","5277","null","23506","null",
"1400000US42101011100","Census Tract 111, Philadelphia County, Pennsylvania","6185","null","20602","null",
"1400000US42101011200","Census Tract 112, Philadelphia County, Pennsylvania","4896","null","25261","null",
"1400000US42101011300","Census Tract 113, Philadelphia County, Pennsylvania","3978","null","38438","null",
"1400000US42101011400","Census Tract 114, Philadelphia County, Pennsylvania","6313","null","32599","null",
"1400000US42101011500","Census Tract 115, Philadelphia County, Pennsylvania","9409","null","50823","null",
"1400000US42101011700","Census Tract 117, Philadelphia County, Pennsylvania","25705","null","57813","null",
"1400000US42101011800","Census Tract 118, Philadelphia County, Pennsylvania","10779","null","35365","null",
"1400000US42101011900","Census Tract 119, Philadelphia County, Pennsylvania","7911","null","39322","null",
"1400000US42101012000","Census Tract 120, Philadelphia County, Pennsylvania","7237","null","28080","null",
"1400000US42101012100","Census Tract 121, Philadelphia County, Pennsylvania","6572","null","37213","null",
"1400000US42101012201","Census Tract 122.01, Philadelphia County, Pennsylvania","6489","null","20000","null",
"1400000US42101012203","Census Tract 122.03, Philadelphia County, Pennsylvania","9915","null","19508","null",
"1400000US42101012204","Census Tract 122.04, Philadelphia County, Pennsylvania","9264","null","43583","null",
"1400000US42101012500","Census Tract 125, Philadelphia County, Pennsylvania","6213","null","50129","null",
"1400000US42101013100","Census Tract 131, Philadelphia County, Pennsylvania","10332","null","22364","null",
"1400000US42101013200","Census Tract 132, Philadelphia County, Pennsylvania","2849","null","14946","null",
"1400000US42101013300","Census Tract 133, Philadelphia County, Pennsylvania","9632","null","42031","null",
"1400000US42101013401","Census Tract 134.01, Philadelphia County, Pennsylvania","7373","null","66067","null",
"1400000US42101013402","Census Tract 134.02, Philadelphia County, Pennsylvania","16193","null","75639","null",
"1400000US42101013500","Census Tract 135, Philadelphia County, Pennsylvania","8998","null","47679","null",
"1400000US42101013601","Census Tract 136.01, Philadelphia County, Pennsylvania","16575","null","94833","null",
"1400000US42101013602","Census Tract 136.02, Philadelphia County, Pennsylvania","24271","null","67252","null",
"1400000US42101013700","Census Tract 137, Philadelphia County, Pennsylvania","4656","null","18760","null",
"1400000US42101013800","Census Tract 138, Philadelphia County, Pennsylvania","10251","null","18063","null",
"1400000US42101013900","Census Tract 139, Philadelphia County, Pennsylvania","3456","null","12844","null",
"1400000US42101014000","Census Tract 140, Philadelphia County, Pennsylvania","7775","null","22656","null",
"1400000US42101014100","Census Tract 141, Philadelphia County, Pennsylvania","8320","null","14583","null",
"1400000US42101014200","Census Tract 142, Philadelphia County, Pennsylvania","8381","null","63254","null",
"1400000US42101014300","Census Tract 143, Philadelphia County, Pennsylvania","13871","null","54438","null",
"1400000US42101014400","Census Tract 144, Philadelphia County, Pennsylvania","8841","null","26034","null",
"1400000US42101014500","Census Tract 145, Philadelphia County, Pennsylvania","4372","null","15485","null",
"1400000US42101014600","Census Tract 146, Philadelphia County, Pennsylvania","5316","null","19623","null",
"1400000US42101014700","Census Tract 147, Philadelphia County, Pennsylvania","5960","null","9666","null",
"1400000US42101014800","Census Tract 148, Philadelphia County, Pennsylvania","12927","null","9904","null",
"1400000US42101014900","Census Tract 149, Philadelphia County, Pennsylvania","5415","null","20335","null",
"1400000US42101015101","Census Tract 151.01, Philadelphia County, Pennsylvania","19523","null","25852","null",
"1400000US42101015102","Census Tract 151.02, Philadelphia County, Pennsylvania","2197","null","11048","null",
"1400000US42101015200","Census Tract 152, Philadelphia County, Pennsylvania","3688","null","14741","null",
"1400000US42101015300","Census Tract 153, Philadelphia County, Pennsylvania","4175","null","10848","null",
"1400000US42101015600","Census Tract 156, Philadelphia County, Pennsylvania","12748","null","15885","null",
"1400000US42101015700","Census Tract 157, Philadelphia County, Pennsylvania","7069","null","24966","null",
"1400000US42101015800","Census Tract 158, Philadelphia County, Pennsylvania","11296","null","53967","null",
