"GEO_ID","NAME","H085001","H085001A",
"Geography","Label for GEO_ID","Median value","Annotation of Median value",
"1400000US42101007500","Census Tract 75, Philadelphia County, Pennsylvania","0","null",
"1400000US42101007600","Census Tract 76, Philadelphia County, Pennsylvania","0","null",
"1400000US42101007700","Census Tract 77, Philadelphia County, Pennsylvania","57600","null",
"1400000US42101007800","Census Tract 78, Philadelphia County, Pennsylvania","95300","null",
"1400000US42101007900","Census Tract 79, Philadelphia County, Pennsylvania","97000","null",
"1400000US42101008000","Census Tract 80, Philadelphia County, Pennsylvania","46300","null",
"1400000US42101008100","Census Tract 81, Philadelphia County, Pennsylvania","37200","null",
"1400000US42101008200","Census Tract 82, Philadelphia County, Pennsylvania","49000","null",
"1400000US42101008301","Census Tract 83.01, Philadelphia County, Pennsylvania","44900","null",
"1400000US42101008302","Census Tract 83.02, Philadelphia County, Pennsylvania","41300","null",
"1400000US42101008400","Census Tract 84, Philadelphia County, Pennsylvania","37700","null",
"1400000US42101008500","Census Tract 85, Philadelphia County, Pennsylvania","39900","null",
"1400000US42101008600","Census Tract 86, Philadelphia County, Pennsylvania","66500","null",
"1400000US42101008700","Census Tract 87, Philadelphia County, Pennsylvania","100700","null",
"1400000US42101008800","Census Tract 88, Philadelphia County, Pennsylvania","177500","null",
"1400000US42101008900","Census Tract 89, Philadelphia County, Pennsylvania","0","null",
"1400000US42101009000","Census Tract 90, Philadelphia County, Pennsylvania","98900","null",
"1400000US42101009100","Census Tract 91, Philadelphia County, Pennsylvania","86700","null",
"1400000US42101009200","Census Tract 92, Philadelphia County, Pennsylvania","46000","null",
"1400000US42101009300","Census Tract 93, Philadelphia County, Pennsylvania","33700","null",
"1400000US42101009400","Census Tract 94, Philadelphia County, Pennsylvania","29900","null",
"1400000US42101009500","Census Tract 95, Philadelphia County, Pennsylvania","33500","null",
"1400000US42101009600","Census Tract 96, Philadelphia County, Pennsylvania","34100","null",
"1400000US42101009700","Census Tract 97, Philadelphia County, Pennsylvania","93600","null",
"1400000US42101009800","Census Tract 98, Philadelphia County, Pennsylvania","71400","null",
"1400000US42101009900","Census Tract 99, Philadelphia County, Pennsylvania","194000","null",
"1400000US42101010000","Census Tract 100, Philadelphia County, Pennsylvania","61400","null",
"1400000US42101010100","Census Tract 101, Philadelphia County, Pennsylvania","44200","null",
"1400000US42101010200","Census Tract 102, Philadelphia County, Pennsylvania","38100","null",
"1400000US42101010300","Census Tract 103, Philadelphia County, Pennsylvania","33200","null",
"1400000US42101010400","Census Tract 104, Philadelphia County, Pennsylvania","28900","null",
"1400000US42101010500","Census Tract 105, Philadelphia County, Pennsylvania","28000","null",
"1400000US42101010600","Census Tract 106, Philadelphia County, Pennsylvania","25000","null",
"1400000US42101010700","Census Tract 107, Philadelphia County, Pennsylvania","29000","null",
"1400000US42101010800","Census Tract 108, Philadelphia County, Pennsylvania","31100","null",
"1400000US42101010900","Census Tract 109, Philadelphia County, Pennsylvania","42500","null",
"1400000US42101011000","Census Tract 110, Philadelphia County, Pennsylvania","22000","null",
"1400000US42101011100","Census Tract 111, Philadelphia County, Pennsylvania","32200","null",
"1400000US42101011200","Census Tract 112, Philadelphia County, Pennsylvania","37800","null",
"1400000US42101011300","Census Tract 113, Philadelphia County, Pennsylvania","50500","null",
"1400000US42101011400","Census Tract 114, Philadelphia County, Pennsylvania","58200","null",
"1400000US42101011500","Census Tract 115, Philadelphia County, Pennsylvania","64000","null",
"1400000US42101011600","Census Tract 116, Philadelphia County, Pennsylvania","106600","null",
"1400000US42101011700","Census Tract 117, Philadelphia County, Pennsylvania","114200","null",
"1400000US42101011800","Census Tract 118, Philadelphia County, Pennsylvania","65200","null",
