"GEO_ID","NAME","B19113_001M","B19113_001MA","B19113_001E","B19113_001EA",
"1400000US42101006700","Census Tract 67, Philadelphia County, Pennsylvania","6678","null","28393","null",
"1400000US42101006900","Census Tract 69, Philadelphia County, Pennsylvania","8749","null","20694","null",
"1400000US42101007000","Census Tract 70, Philadelphia County, Pennsylvania","7842","null","41705","null",
"1400000US42101007101","Census Tract 71.01, Philadelphia County, Pennsylvania","6905","null","29063","null",
"1400000US42101007102","Census Tract 71.02, Philadelphia County, Pennsylvania","10799","null","36444","null",
"1400000US42101007200","Census Tract 72, Philadelphia County, Pennsylvania","12087","null","35029","null",
"1400000US42101007300","Census Tract 73, Philadelphia County, Pennsylvania","6960","null","34450","null",
"1400000US42101007400","Census Tract 74, Philadelphia County, Pennsylvania","12115","null","30721","null",
"1400000US42101007700","Census Tract 77, Philadelphia County, Pennsylvania","19586","null","49871","null",
"1400000US42101007800","Census Tract 78, Philadelphia County, Pennsylvania","24869","null","77333","null",
"1400000US42101007900","Census Tract 79, Philadelphia County, Pennsylvania","22053","null","61734","null",
"1400000US42101008000","Census Tract 80, Philadelphia County, Pennsylvania","6880","null","36092","null",
"1400000US42101008101","Census Tract 81.01, Philadelphia County, Pennsylvania","6120","null","24971","null",
"1400000US42101008102","Census Tract 81.02, Philadelphia County, Pennsylvania","7336","null","44906","null",
"1400000US42101008200","Census Tract 82, Philadelphia County, Pennsylvania","9744","null","51661","null",
"1400000US42101008301","Census Tract 83.01, Philadelphia County, Pennsylvania","5975","null","32833","null",
"1400000US42101008302","Census Tract 83.02, Philadelphia County, Pennsylvania","11521","null","27260","null",
"1400000US42101008400","Census Tract 84, Philadelphia County, Pennsylvania","8970","null","30852","null",
"1400000US42101008500","Census Tract 85, Philadelphia County, Pennsylvania","8350","null","34648","null",
"1400000US42101008601","Census Tract 86.01, Philadelphia County, Pennsylvania","41792","null","55921","null",
"1400000US42101008602","Census Tract 86.02, Philadelphia County, Pennsylvania","17416","null","31910","null",
"1400000US42101008701","Census Tract 87.01, Philadelphia County, Pennsylvania","37053","null","55833","null",
"1400000US42101008702","Census Tract 87.02, Philadelphia County, Pennsylvania","22459","null","121250","null",
"1400000US42101008801","Census Tract 88.01, Philadelphia County, Pennsylvania","**","**","-","-",
"1400000US42101008802","Census Tract 88.02, Philadelphia County, Pennsylvania","22779","null","23571","null",
"1400000US42101009000","Census Tract 90, Philadelphia County, Pennsylvania","71004","null","107955","null",
"1400000US42101009100","Census Tract 91, Philadelphia County, Pennsylvania","24768","null","50139","null",
"1400000US42101009200","Census Tract 92, Philadelphia County, Pennsylvania","13586","null","19549","null",
"1400000US42101009300","Census Tract 93, Philadelphia County, Pennsylvania","7056","null","30750","null",
"1400000US42101009400","Census Tract 94, Philadelphia County, Pennsylvania","5038","null","22708","null",
"1400000US42101009500","Census Tract 95, Philadelphia County, Pennsylvania","10897","null","26969","null",
"1400000US42101009600","Census Tract 96, Philadelphia County, Pennsylvania","6711","null","27144","null",
"1400000US42101009801","Census Tract 98.01, Philadelphia County, Pennsylvania","27563","null","51875","null",
"1400000US42101009802","Census Tract 98.02, Philadelphia County, Pennsylvania","8511","null","53104","null",
"1400000US42101010000","Census Tract 100, Philadelphia County, Pennsylvania","5235","null","48451","null",
"1400000US42101010100","Census Tract 101, Philadelphia County, Pennsylvania","22932","null","52564","null",
"1400000US42101010200","Census Tract 102, Philadelphia County, Pennsylvania","13036","null","26023","null",
"1400000US42101010300","Census Tract 103, Philadelphia County, Pennsylvania","2341","null","21002","null",
"1400000US42101010400","Census Tract 104, Philadelphia County, Pennsylvania","8957","null","28657","null",
"1400000US42101010500","Census Tract 105, Philadelphia County, Pennsylvania","4663","null","32857","null",
"1400000US42101010600","Census Tract 106, Philadelphia County, Pennsylvania","18974","null","44545","null",
"1400000US42101010700","Census Tract 107, Philadelphia County, Pennsylvania","5142","null","22316","null",
"1400000US42101010800","Census Tract 108, Philadelphia County, Pennsylvania","4766","null","21442","null",
"1400000US42101010900","Census Tract 109, Philadelphia County, Pennsylvania","8880","null","22091","null",
"1400000US42101011000","Census Tract 110, Philadelphia County, Pennsylvania","4938","null","35858","null",
"1400000US42101011100","Census Tract 111, Philadelphia County, Pennsylvania","9897","null","24792","null",
"1400000US42101011200","Census Tract 112, Philadelphia County, Pennsylvania","4680","null","28304","null",
"1400000US42101011300","Census Tract 113, Philadelphia County, Pennsylvania","4687","null","39076","null",
"1400000US42101011400","Census Tract 114, Philadelphia County, Pennsylvania","5540","null","39375","null",
"1400000US42101011500","Census Tract 115, Philadelphia County, Pennsylvania","16128","null","54107","null",
"1400000US42101011700","Census Tract 117, Philadelphia County, Pennsylvania","20952","null","89356","null",
"1400000US42101011800","Census Tract 118, Philadelphia County, Pennsylvania","16714","null","58864","null",
"1400000US42101011900","Census Tract 119, Philadelphia County, Pennsylvania","11312","null","46429","null",
"1400000US42101012000","Census Tract 120, Philadelphia County, Pennsylvania","32625","null","58958","null",
"1400000US42101012100","Census Tract 121, Philadelphia County, Pennsylvania","2634","null","44842","null",
"1400000US42101012201","Census Tract 122.01, Philadelphia County, Pennsylvania","21330","null","48110","null",
"1400000US42101012203","Census Tract 122.03, Philadelphia County, Pennsylvania","44755","null","33750","null",
