"GEO_ID","NAME","B03002_001E","B03002_001EA","B03002_001M","B03002_001MA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008EA","B03002_008M","B03002_008MA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010EA","B03002_010M","B03002_010MA","B03002_011E","B03002_011EA","B03002_011M","B03002_011MA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014EA","B03002_014M","B03002_014MA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016M","B03002_016MA","B03002_016EA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019EA","B03002_019M","B03002_019MA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"1400000US42101035601","Census Tract 356.01, Philadelphia County, Pennsylvania","5221","null","930","null","4543","null","532","null","3652","null","543","null","199","150","null","null","10","null","20","null","652","null","255","null","0","15","null","null","0","null","15","null","30","null","49","null","0","null","15","null","30","null","49","null","678","795","null","null","141","null","134","null","0","null","15","null","0","null","15","null","0","15","null","null","0","null","15","null","537","null","768","null","0","null","15","null","0","15","null","null","0","15","null","null",
"1400000US42101035602","Census Tract 356.02, Philadelphia County, Pennsylvania","3602","null","456","null","3329","null","465","null","2319","null","373","null","45","31","null","null","0","null","11","null","912","null","313","null","10","17","null","null","0","null","11","null","43","null","45","null","9","null","15","null","34","null","36","null","273","154","null","null","259","null","159","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","14","null","22","null","0","null","11","null","0","11","null","null","0","11","null","null",
"1400000US42101035701","Census Tract 357.01, Philadelphia County, Pennsylvania","4758","null","539","null","4443","null","509","null","2583","null","420","null","200","205","null","null","0","null","11","null","1341","null","379","null","0","11","null","null","0","null","11","null","319","null","208","null","40","null","66","null","279","null","191","null","315","231","null","null","53","null","85","null","0","null","11","null","0","null","11","null","0","11","null","null","18","null","28","null","134","null","125","null","110","null","166","null","0","11","null","null","110","166","null","null",
"1400000US42101035702","Census Tract 357.02, Philadelphia County, Pennsylvania","4330","null","705","null","4185","null","676","null","3252","null","688","null","26","28","null","null","0","null","11","null","761","null","340","null","0","11","null","null","0","null","11","null","146","null","166","null","0","null","11","null","146","null","166","null","145","149","null","null","75","null","87","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","70","null","118","null","0","null","11","null","0","11","null","null","0","11","null","null",
"1400000US42101035800","Census Tract 358, Philadelphia County, Pennsylvania","6652","null","898","null","6414","null","910","null","4393","null","439","null","326","325","null","null","15","null","74","null","1323","null","827","null","0","15","null","null","174","null","285","null","183","null","230","null","66","null","104","null","117","null","210","null","238","250","null","null","41","null","59","null","0","null","15","null","0","null","15","null","0","15","null","null","0","null","15","null","65","null","105","null","132","null","209","null","70","110","null","null","62","101","null","null",
"1400000US42101035900","Census Tract 359, Philadelphia County, Pennsylvania","5352","null","875","null","5022","null","771","null","3510","null","501","null","104","96","null","null","40","null","46","null","1177","null","657","null","0","15","null","null","0","null","15","null","191","null","162","null","0","null","15","null","191","null","162","null","330","306","null","null","107","null","77","null","0","null","15","null","0","null","15","null","0","15","null","null","0","null","15","null","223","null","302","null","0","null","15","null","0","15","null","null","0","15","null","null",
"1400000US42101036000","Census Tract 360, Philadelphia County, Pennsylvania","3512","null","463","null","3367","null","450","null","2072","null","435","null","404","163","null","null","11","null","18","null","757","null","232","null","0","11","null","null","0","null","11","null","123","null","95","null","0","null","11","null","123","null","95","null","145","111","null","null","63","null","60","null","7","null","16","null","0","null","11","null","0","11","null","null","0","null","11","null","17","null","23","null","58","null","70","null","40","64","null","null","18","25","null","null",
"1400000US42101036100","Census Tract 361, Philadelphia County, Pennsylvania","3978","null","596","null","3669","null","609","null","2360","null","392","null","1164","691","null","null","0","null","11","null","122","null","110","null","0","11","null","null","0","null","11","null","23","null","35","null","0","null","11","null","23","null","35","null","309","255","null","null","82","null","117","null","120","null","156","null","0","null","11","null","0","11","null","null","0","null","11","null","87","null","123","null","20","null","29","null","20","29","null","null","0","11","null","null",
"1400000US42101036201","Census Tract 362.01, Philadelphia County, Pennsylvania","5195","null","1518","null","4638","null","1205","null","4236","null","1198","null","244","207","null","null","0","null","15","null","0","null","15","null","0","15","null","null","6","null","11","null","152","null","125","null","0","null","15","null","152","null","125","null","557","378","null","null","303","null","219","null","0","null","15","null","0","null","15","null","0","15","null","null","0","null","15","null","39","null","46","null","215","null","293","null","215","293","null","null","0","15","null","null",
"1400000US42101036202","Census Tract 362.02, Philadelphia County, Pennsylvania","6171","null","1062","null","5727","null","1072","null","4775","null","806","null","378","197","null","null","0","null","15","null","574","null","728","null","0","15","null","null","0","null","15","null","0","null","15","null","0","null","15","null","0","null","15","null","444","327","null","null","206","null","208","null","0","null","15","null","0","null","15","null","0","15","null","null","0","null","15","null","238","null","248","null","0","null","15","null","0","15","null","null","0","15","null","null",
